Model,Main_Accuracy,Control_Accuracy,Average_Accuracy,Strict_Logical_AND,Difference_Avg_Strict,Main_Questions,Control_Questions,Valid_Pairs,Correct_Pairs
gemini-2.5-pro,0.9433159722222222,0.43879325334724395,0.691054612784733,0.41201530168666317,0.27903931109806984,11520,11502,11502,4739
doubao-seed-1-6-vision-250815,0.8299479166666667,0.4642361111111111,0.6470920138888889,0.3822048611111111,0.2648871527777778,11520,11520,11520,4403
gpt-5,0.9147569444444444,0.35815448779216263,0.6364557161183035,0.33139282300808065,0.3050628931102229,11520,11509,11509,3814
claude-sonnet-4-5,0.7542534722222223,0.4539376573760528,0.6040955647991375,0.372319180342103,0.23177638445703452,11520,11517,11517,4288
Qwen3-VL-32B-Instruct,0.6456597222222222,0.5205729166666667,0.5831163194444444,0.3115451388888889,0.2715711805555555,11520,11520,11520,3589
Qwen2.5-VL-72B-Instruct,0.896875,0.21979166666666666,0.5583333333333333,0.17317708333333334,0.38515625,11520,11520,11520,1995
hunyuan-t1-vision,0.7405381944444445,0.36050347222222223,0.5505208333333333,0.26796875,0.28255208333333337,11520,11520,11520,3087
InternVL3-38B-Instruct,0.6129340277777777,0.4636284722222222,0.5382812499999999,0.29739583333333336,0.24088541666666657,11520,11520,11520,3426
InternVL3_5-38B-Instruct,0.7548611111111111,0.31796875,0.5364149305555556,0.19322916666666667,0.3431857638888889,11520,11520,11520,2226
InternVL3_5-38B-MPO,0.7275173611111111,0.33975694444444443,0.5336371527777778,0.20850694444444445,0.32513020833333334,11520,11520,11520,2402
InternVL3-38B,0.5747395833333333,0.48420138888888886,0.529470486111111,0.29409722222222223,0.2353732638888888,11520,11520,11520,3388
InternVL2_5-78B,0.6071180555555555,0.44427083333333334,0.5256944444444445,0.19270833333333334,0.3329861111111111,11520,11520,11520,2220
Qwen2.5-VL-32B-Instruct,0.8182291666666667,0.2282986111111111,0.5232638888888889,0.16657986111111112,0.35668402777777775,11520,11520,11520,1919
InternVL3_5-8B,0.7252604166666666,0.29930555555555555,0.5122829861111111,0.15625,0.3560329861111111,11520,11520,11520,1800
Qwen2-VL-72B-Instruct,0.6943576388888889,0.3151909722222222,0.5047743055555556,0.15243055555555557,0.35234375,11520,11520,11520,1756
InternVL3_5-8B-Instruct,0.7453125,0.26059027777777777,0.5029513888888889,0.1545138888888889,0.3484375,11520,11520,11520,1780
InternVL2_5-38B,0.6497395833333334,0.35572916666666665,0.502734375,0.1912326388888889,0.3115017361111111,11520,11520,11520,2203
InternVL2_5-78B-MPO,0.5597222222222222,0.4439236111111111,0.5018229166666667,0.2342013888888889,0.2676215277777778,11520,11520,11520,2698
InternVL3_5-8B-MPO,0.7387152777777778,0.2625,0.5006076388888889,0.1527777777777778,0.34782986111111114,11520,11520,11520,1760
InternVL3_5-1B-MPO,0.9638888888888889,0.02456597222222222,0.49422743055555557,0.01597222222222222,0.47825520833333335,11520,11520,11520,184
InternVL3_5-1B-Instruct,0.9344618055555556,0.03454861111111111,0.4845052083333333,0.019618055555555555,0.46488715277777776,11520,11520,11520,226
InternVL2-2B,0.7756076388888888,0.18133680555555556,0.4784722222222222,0.08159722222222222,0.396875,11520,11520,11520,940
Ovis1.6-Gemma2-9B,0.7423611111111111,0.20234375,0.47235243055555554,0.07256944444444445,0.39978298611111107,11520,11520,11520,836
InternVL3-14B-Instruct,0.7486111111111111,0.19236111111111112,0.4704861111111111,0.08940972222222222,0.3810763888888889,11520,11520,11520,1030
Qwen3-VL-32B-Thinking,0.6144097222222222,0.32439236111111114,0.4694010416666667,0.20234375,0.2670572916666667,11520,11520,11520,2331
InternVL3_5-30B-A3B-MPO,0.7513888888888889,0.17291666666666666,0.46215277777777775,0.0915798611111111,0.37057291666666664,11520,11520,11520,1055
InternVL3-14B,0.6907118055555556,0.22899305555555555,0.4598524305555556,0.10998263888888889,0.3498697916666667,11520,11520,11520,1267
Qwen2-VL-7B-Instruct,0.6657986111111112,0.2513888888888889,0.45859375,0.06197916666666667,0.3966145833333333,11520,11520,11520,714
InternVL3_5-30B-A3B-Instruct,0.771875,0.1447048611111111,0.45828993055555556,0.06840277777777778,0.38988715277777775,11520,11520,11520,788
InternVL2_5-38B-MPO,0.5052083333333334,0.4109375,0.4580729166666667,0.20243055555555556,0.25564236111111116,11520,11520,11520,2332
InternVL2-40B,0.43350694444444443,0.4792534722222222,0.4563802083333333,0.1449652777777778,0.3114149305555555,11520,11520,11520,1670
Qwen2.5-VL-3B-Instruct,0.7692708333333333,0.14253472222222222,0.45590277777777777,0.02890625,0.42699652777777775,11520,11520,11520,333
Ovis1.6-Llama3.2-3B,0.6984375,0.21302083333333333,0.4557291666666667,0.08125,0.3744791666666667,5760,5760,5760,468
InternVL2_5-1B-MPO,0.7646701388888889,0.14522569444444444,0.4549479166666667,0.050694444444444445,0.40425347222222224,11520,11520,11520,584
